Q5:Q1,D10:D1,D10:D1-4(Palma),P90:P10_bhc,P80:P20_bhc,P80:P50_bhc,P50:P20_bhc,GINI-BHC,top_10_perc_wealth_share,top_5_perc_wealth_share,top_1_perc_wealth_share,UN_middle_class_def_inc_share,OECD_middle_class_def_inc_share,LIH_B60_contemp_median_AHC,LIH_B50_contemp_median_AHC,LIH_B50_CV_AHC,LIH_B60_CV_AHC,LIH_B40_contemp_median_AHC,LIEH_B60_contemp_median_AHC,LIEH_B50_contemp_median_AHC,LIEH_B50_CV_median_AHC,LIEH_B60_CV_median_AHC,LIS65H_B60_CV_median_AHC,LISPH_B60_CV_median_AHC,LIS65H_B50_CV_median_AHC,LISPH_B50_CV_median_AHC,child_poverty_ahc_perc_HH_B50_CV,child_poverty_ahc_perc_HH_B60_CV,child_poverty_ahc_perc_HH_B40_contemp_median,child_poverty_ahc_perc_HH_B50_contemp_median,child_poverty_ahc_perc_HH_B60_contemp_median,child_poverty_ahc_perc_HH_B60_CV_one_or_more_FT_working_parents,child_poverty_ahc_perc_HH_B60_CV_one_or_more_PT_working_parents,national_house_rental_A30%_income_spend,national_house_purchasing_A30%_income_spend,national_house_rental_HAM,national_house_purchasing_HAM,home_ownership_rate,homelessness_percentage_of_population,priority_A_state_housing_applicants_as_pop_percent,priority_B_state_housing_applicants_as_pop_percent,debt_servicing_as_percent_of_disp_inc,house_median_multiples,unemployment_rate,60_64_years_unemp_rate,65years_and_over_unemp_rate,underemployment_rate,employees_working_long_hours,labour_market_insecurity,long_term_unemployment_rate,pop_15_to_29_NEET,low_pay_percent_OECD_def,low_pay_percent_120percent_MW_def,living_min_wage_gap_magnitude,LIS_ms-16,LP:RPW_ms-16,teriary_education_participation_rate,education_spend_as_percent_of_GDP,education_spend_as_percent_of_total_gov_expenses,median_teriary_loan_as_perc_of_med_inc_AHC,median_teriary_loan_balance_as_perc_of_med_inc_AHC,university_affordability_ratio_to_mean_salary,polytechnics_affordability_ratio_to_mean_salary,wananga_affordability_ratio_to_mean_salary,bachelors_earning_premium_hourly,dips_cert_earning_premium_hourly,school_earning_premium_hourly,bachelors_earning_premium_weekly,dips_cert_earning_premium_weekly,school_earning_premium_weekly,health_expenditure_as_percent_of_gdp,health_expenditure_per_capita_PPP,depression_adult,excellent_very_good_or_good_self_rated_health,psychological_distress_adult,mood_anxiety_disorder_adult,healthy_weight_adult,unmet_after_hours_care_due_to_cost_adult,unmet_GP_care_due_to_cost_adult,veg_and_fruit_intake_adult,breakfast_eaten_at_home_less_5_days_a_week_child,emotional_behavioural_problems_child,adult_diabetes_rates,depression_child,excellent_very_good_or_good_parent_rated_health_child,unfilled_prescription_due_to_cost_child,unmet_need_for_after_hours_due_to_cost_child,unmet_need_for_GP_due_to_cost_child,vegetable_and_fruit_intake_child,healthy_weight_child,suicides_per_100000,problem_gambling_intervention_prevelance_percent,year
4.46,6.35,1.1,3.43,2.42,1.6,0.66,30.2,-,-,-,21.3,59.5,11,6,10,-,4,6,2,6,-,-,-,1.5,2.5,15,None,5,7,16,57,6,None,None,None,None,None,NAN,None,null,null,NaN,8,3.3,2.1,NaN,null,nan,22.06366623,null,NAN,NaN,NULL,None,null,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,12.9727692,,31/12/1990 0:00
5.51,9.15,1.31,4.17,2.74,1.62,0.59,33.4,55,41,20,19,54.6,20,14,17,22,9,9,5,6,-,-,-,1.588235294,3.235294118,23,31,11,19,28,45,12,0.282472606,0.440848749,0.658736865,0.783494615,67.08726341,NaN,0.032186269,0.36794091,10.3,4.029125164,4,2.5,NaN,3.3,NAN,NAN,11.65048555,10.8,13.16200699,NaN,NaN,0.558436539,1.016300545,13.1\T,5.2\S,18.1\V,23.50086655112652\Y,37.45667244367418\O,5.143210079430139\Q,3.051085776072352\P,0.5410778670206408\L,,,,,,,7.9,"1985,5",,,,,,,,,,,,,,,,,,,11.74019727,0.1,31/12/2004 0:00
???,???,???,???,???,???,???,???,-,-,-,19.8,56.1,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,70.78975838,NULL,null,None,NULL,NAN,6.5,2.7,1.5,NULL,NAN,nan,25.84053796,NaN,NaN,NAN,None,None,nan,8.1\O,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,14.96900071,,31/12/1995 0:00
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,0.286440483,0.574313678,0.607096032,0.798594578,None,None,0.252376981,0.125333611,8.3,6.104822894,4.7,3.1,1.2,4.4,null,NAN,15.64339767,11.8,12.09159648,null,NaN,nan,NULL,,,,,,,,,,,,,,,,nan,S16.7,88.2Q,K7.6,19.9K,V31.9,F6.6,O14.3,W38.8,9.3,4.9C,T5.6,W0.5,98.1,W3.9,2.6,3.0Z,49.8,62.5U,12.64,0.002420559,31/12/2017 0:00
???,???,???,3.8,2.53,1.64,0.65,31.9,-,-,-,20,56.1,17,11,20,-,7,3,1,6,-,-,-,1.5,3.45,32,None,9,17,27,34,6,None,None,None,None,72.66646626,NAN,nan,null,NULL,nan,10.7,2.7,1.7,None,None,null,32.37237262,None,NULL,NAN,null,None,NULL,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,14.1274509,,31/12/1992 0:00
4.13,6.15,0.91,3.25,2.32,1.51,0.65,27.2,-,-,-,22.2,63.3,9,6,8,-,4,3,1,3,-,-,-,-,-,11,None,6,9,14,None,None,None,None,None,None,None,None,None,nan,NULL,NaN,NaN,None,NaN,NULL,NAN,nan,NaN,nan,None,NAN,NULL,NAN,null,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,31/12/1982 0:00
???,???,???,3.31,2.29,1.53,0.67,27.5,-,-,-,22.3,62.5,9,6,9,-,4,2,1,2,-,-,-,1.111111111,3,14,None,6,10,15,56,3,None,None,None,None,None,None,NULL,None,NaN,NULL,NaN,null,NaN,NAN,NAN,NULL,NAN,null,NAN,NaN,NaN,NAN,NaN,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,31/12/1984 0:00
???,???,???,???,???,???,???,???,-,-,-,53.6,22.9,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,68.49685577,NaN,nan,NAN,7.7,null,7,5.4,1.8,NAN,NULL,None,21.14427859,NAN,12.28404701,nan,NaN,0.58646245,0.961097219,9.4\N,5.0\U,15.7\D,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,13.4286102,,31/12/1999 0:00
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,None,NaN,NaN,nan,nan,6.239747669,NaN,NaN,null,NaN,nan,NaN,nan,None,NULL,NAN,nan,NaN,NULL,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,31/12/2018 0:00
5.38,8.29,1.3,4.02,2.62,1.64,0.63,33.4,-,-,-,19.7,58.3,18,14,12,17,10,10,5,4,9,1.875,3.5,2,4,18,23,13,19,24,35,12,0.291834894,0.509754193,0.661289615,0.793170169,64.41226576,0.914340972,0.116648301,0.180403445,8.5,5.037923232,5.8,3.6,1.6,4.1,14.08515265,5.332859516,12.17257318,11.9,14.08030591,None,1.793478261,0.563012705,1.021230837,10.6\A,5.7\R,17.9\U,27.36466607825831\X,42.8471609296852\Z,5.834845910325214\Z,3.934648826896657\F,0.4902376499838548\P,59.83333333333333\Z,29.16666666666667\K,3.499999999999995\U,162.3931623931624\C,94.01709401709401\J,9.971509971509972\T,9.4,"3346,4",14.5,M89.5,6.1,16.4V,33.7H,7.2,14.5Z,A43.3,J8.7,4.4V,5.8,0.5,98.2,4.5,S4.3,6.5,54.9V,63.4O,11,0.00279713,31/12/2013 0:00
